,데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
3422,2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
3423,2024-03-22 9:52,ICW0W2000262,30,10,454,20,15.7,29,62,89
3424,2024-03-22 9:52,ICW0W2000248,8,2,1670,275,26,22,95,76
3425,2024-03-22 9:51,ICW0W2100481,17,6,1057,6000,21,33,72,70
3426,2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
3427,2024-03-22 9:51,ICW0W2100582,25,10,600,71,21.4,21,67,95
3428,2024-03-22 9:51,ICW0W2100579,15,6,0,159,25.5,14,61,93
3429,2024-03-22 9:52,ICW0W2100562,28,15,583,293,22.4,16,64,88
3430,2024-03-22 9:51,ICW0W2100560,5,1,1441,6000,23.7,25,60,65
3432,2024-03-22 10:52,ICW0W2100488,23,9,456,142,22.7,16,75,93
3433,2024-03-22 10:52,ICW0W2100506,1,0,88,5,14.1,24,59,95
3434,2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
3435,2024-03-22 10:52,ICW0W2100582,26,10,668,53,21.7,22,69,95
3436,2024-03-22 10:52,ICW0W2100579,12,5,0,920,26.3,14,59,77
3437,2024-03-22 10:53,ICW0W2100562,30,16,594,390,23.6,15,60,87
3438,2024-03-22 10:52,ICW0W2100560,9,3,1933,6000,24,30,57,62
3439,2024-03-22 10:52,ICW0W2100549,25,10,423,29,15.8,26,67,90
3440,2024-03-22 10:52,ICW0W2100509,24,9,173,6000,22.5,22,80,68
3441,2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
3442,2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
3443,2024-03-22 10:52,ICW0W2100497,255,106,1166,35,24,23,76,59
3444,2024-03-22 10:55,ICW0W2100491,43,22,1349,60000,26.1,26,75,52
3445,2024-03-22 10:52,ICW0W2100485,31,10,1141,0,23.5,29,62,88
3446,2024-03-22 10:52,ICW0W2100481,25,10,1408,6000,21.4,32,77,63
3447,2024-03-22 10:53,ICW0W2100479,20,7,968,215,24.7,21,87,89
3448,2024-03-22 10:52,ICW0W2100489,48,15,217,5,23.5,25,80,96
3449,2024-03-22 10:52,ICW0W2100467,11,3,,6000,22.5,25,86,62
3450,2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
3451,2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
3452,2024-03-22 10:52,ICW0W2100462,20,7,8,1250,24.4,23,60,77
3453,2024-03-22 10:52,ICW0W2100460,28,9,789,0,22.7,27,79,95
3454,2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
3455,2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
3456,2024-03-22 10:52,ICW0W2100455,28,10,1102,6000,25.9,26,59,65
3457,2024-03-22 10:52,ICW0W2000512,28,11,561,6000,31.6,17,58,53
3458,2024-03-22 10:52,ICW0W2001000,70,28,16,262,17.8,26,61,88
3459,2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
3460,2024-03-22 10:52,ICW0W2000951,47,13,317,18,21.1,23,68,96
3461,2024-03-22 10:52,ICW0W2000956,34,20,917,515,20.5,32,54,84
3462,2024-03-22 10:52,ICW0W2000996,12,12,743,3733,21.1,27,51,71
3463,2024-03-22 10:52,ICW0W2000991,15,10,642,76,20.5,24,65,96
3464,2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
3465,2024-03-22 10:52,ICW0W2000983,12,8,120,89,15.8,28,63,92
3466,2024-03-22 10:52,ICW0W2000955,19,13,605,317,18,25,64,92
3467,2024-03-22 10:52,ICW0W2000987,30,18,840,117,22.6,25,62,92
3468,2024-03-22 10:52,ICW0W2000978,20,13,477,83,15,26,43,89
3469,2024-03-22 10:52,ICW0W2000922,23,7,431,308,22.5,30,65,94
