데이터 시간,시리얼번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소 (ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
2024-04-29 13:56,ICW0W2100488,17,6,514,74,23.6,27,70,97
2024-05-10 09:07,ICW0W2100506,1,0,91,16,32.6,26,58,92
2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-05-10 09:07,ICW0W2100582,30,11,505,18,22.9,38,62,100
2024-05-07 15:58,ICW0W2100579,4,0,0,244,26.1,33,69,96
2024-05-10 09:12,ICW0W2100562,24,13,637,652,25.2,32,83,81
2024-05-10 09:12,ICW0W2100481,258,74,522,6000,22.8,44,64,52
2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-05-10 09:12,ICW0W2100582,29,11,498,22,22.9,38,63,100
2024-05-07 15:58,ICW0W2100579,4,0,0,244,26.1,33,69,96
2024-05-10 09:17,ICW0W2100562,24,13,638,581,25.2,32,83,82
2024-05-10 09:12,ICW0W2100560,9,3,930,5904,23.5,39,61,71
2024-05-10 09:12,ICW0W2100549,29,11,386,57,22.3,35,63,100
2024-05-10 09:12,ICW0W2100509,17,6,40,1493,22.9,39,68,83
2024-05-10 09:12,ICW0W2100506,1,0,92,16,32.9,26,57,92
2024-05-03 12:55,ICW0W2100499,39,14,878,3614,24.6,33,77,66
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-04-30 13:06,ICW0W2100497,45,17,639,36,25.2,34,63,90
2024-05-10 09:19,ICW0W2100491,15,8,655,918,23.7,37,71,84
2024-04-30 11:47,ICW0W2100489,17,7,227,19,23.6,42,73,100
2024-04-29 13:56,ICW0W2100488,17,6,514,74,23.6,27,70,97
2024-04-29 17:13,ICW0W2100485,142,39,707,0,25.5,37,68,80
2024-05-10 09:12,ICW0W2100479,15,5,497,36,23.1,37,78,100
2024-05-10 09:12,ICW0W2100467,8,3,,3210,22.3,39,86,74
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-05-10 09:12,ICW0W2100462,26,9,16,49,23.0,36,75,100
2024-05-09 16:06,ICW0W2100460,17,6,703,0,22.5,36,72,100
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-05-09 15:24,ICW0W2100455,13,5,1381,0,23.5,38,64,88
2024-05-10 09:12,ICW0W2001000,16,11,55,37,22.0,40,60,100
2024-05-10 09:12,ICW0W2000996,23,21,476,134,21.6,38,57,98
2024-05-10 09:12,ICW0W2000991,20,13,489,60,20.8,40,61,100
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21.0,34,63,71
2024-05-09 18:19,ICW0W2000987,52,21,,84,22.2,35,58,96
2024-05-07 17:45,ICW0W2000983,0,0,111,109,18.1,46,70,100
2024-05-10 09:12,ICW0W2000978,26,16,429,106,20.5,38,57,99
2024-05-10 09:12,ICW0W2000977,20,12,442,27,23.0,37,80,100
2024-05-10 09:12,ICW0W2000974,30,20,562,152,20.2,41,61,99
2024-05-10 09:12,ICW0W2000973,5,4,369,90,21.4,40,70,100
2024-05-07 15:13,ICW0W2000972,7,5,859,114,23.5,37,66,100
2024-05-10 09:12,ICW0W2000968,10,6,613,305,28.7,28,65,87
2024-05-10 09:12,ICW0W2000964,24,13,485,79,20.4,38,66,99
2024-05-10 09:12,ICW0W2000956,19,11,441,76,20.9,42,56,100
2024-05-07 17:55,ICW0W2000955,2,1,443,132,20.5,39,63,100
2024-05-10 09:12,ICW0W2000951,28,8,349,102,24.5,42,70,100
2024-04-03 16:18,ICW0W2000944,4,2,1156,4964,23.3,44,83,79
2024-05-10 09:12,ICW0W2000933,26,8,404,2,22.0,40,71,100
2024-05-10 09:12,ICW0W2000926,9,2,121,55,27.4,33,56,94
2024-05-10 09:12,ICW0W2000924,13,3,627,16,23.9,39,70,100
2024-05-10 09:12,ICW0W2000922,24,8,414,16,24.3,39,73,98
2024-05-10 09:12,V01T1623130,5,2,416,125,21.5,44,30,100
2024-05-10 09:12,V01T1623129,16,8,669,125,24.2,37,49,96
2024-05-10 09:12,V01T1623123,9,4,510,127,23.8,39,31,100
2024-03-13 15:23,V01T1623121,55,24,426,132,18.0,22,43,92
2024-05-10 09:11,V01T1623118,1,1,419,125,20.5,42,32,100
2024-03-29 08:06,V01T1623117,177,49,522,133,19.8,26,46,74
2024-05-10 09:12,V01T1623116,23,11,2500,127,23.1,41,42,83
2024-05-10 09:12,V01T1623113,8,4,458,125,26.0,32,30,95
2024-05-10 07:35,V01T1623112,1,1,440,126,25.1,37,30,100
2024-05-10 09:12,V01T1623109,7,3,2362,127,16.7,59,42,82
2024-05-10 09:12,V01T1623108,5,2,613,125,22.0,42,34,100
2024-05-10 09:12,V01T1623105,23,11,428,153,21.5,43,32,100
2024-05-10 09:12,V01T1623102,1,1,582,137,24.8,34,30,95
2024-05-10 09:12,V01T1623100,10,5,316,125,20.5,50,31,100
2024-05-07 15:50,ICW0W2000512,1,0,742,647,26.9,38,75,88
2024-05-10 09:12,ICW0W2000507,3,1,651,47,24.0,41,46,100
2024-05-10 09:12,ICW0W2000505,15,6,377,0,21.1,42,59,100
2024-05-10 09:12,ICW0W2000503,13,5,440,613,21.2,44,46,94
2024-05-10 09:12,ICW0W2000501,15,6,355,130,21.4,41,48,100
2024-05-10 09:12,ICW0W2000500,8,4,2500,1159,22.9,45,63,76
2024-05-10 09:12,ICW0W2000459,25,8,585,59,21.7,43,62,100
2024-05-10 09:12,ICW0W2000455,17,6,76,69,19.8,45,56,100
2024-05-10 09:12,ICW0W2000447,20,5,295,44,20.2,44,47,100
2024-05-10 09:12,ICW0W2000398,24,8,360,20,20.9,41,65,100
2024-03-31 18:00,ICW0W2000388,4,1,418,150,18.2,34,47,99
2024-03-21 16:09,ICW0W2000382,16,5,500,0,23.3,20,63,98
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26.0,15,53,72
2024-05-10 09:12,ICW0W2000380,13,5,316,170,20.3,44,49,100
2024-03-13 08:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-05-10 09:12,ICW0W2000287,18,5,381,15,21.0,41,53,100
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-05-10 09:12,ICW0W2000275,6,2,578,163,22.6,41,56,100
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-05-10 09:12,ICW0W2000262,29,9,432,17,20.0,45,61,100
2024-05-10 09:12,ICW0W2000248,10,2,1236,252,23.5,36,95,90
2024-05-10 09:11,ICW0W2100481,212,63,512,6000,22.8,43,71,56
2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-05-10 09:11,ICW0W2100582,27,10,491,20,22.9,38,62,100
2024-05-07 15:58,ICW0W2100579,4,0,0,244,26.1,33,69,96
2024-05-10 09:16,ICW0W2100562,25,13,644,598,25.2,32,82,82
2024-05-10 09:11,ICW0W2100560,9,3,944,5959,23.5,39,59,71
2024-04-29 13:56,ICW0W2100488,17,6,514,74,23.6,27,70,97
2024-05-10 10:14,ICW0W2100506,1,0,99,15,33.3,23,56,92
2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-05-10 10:14,ICW0W2100582,26,10,539,24,23.3,36,60,100
2024-05-07 15:58,ICW0W2100579,4,0,0,244,26.1,33,69,96
2024-05-10 10:19,ICW0W2100562,16,8,595,242,25.7,29,57,91
2024-05-10 10:14,ICW0W2100560,6,2,1452,6000,23.7,42,59,72
2024-05-10 10:14,ICW0W2100549,15,6,398,41,23.9,34,63,98
2024-05-10 10:14,ICW0W2100509,19,7,139,1118,23.0,39,79,84
2024-05-03 12:55,ICW0W2100499,39,14,878,3614,24.6,33,77,66
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-04-30 13:06,ICW0W2100497,45,17,639,36,25.2,34,63,90
2024-05-10 10:21,ICW0W2100491,83,47,504,30563,25.0,36,60,58
2024-04-29 17:13,ICW0W2100485,142,39,707,0,25.5,37,68,80
2024-05-10 10:14,ICW0W2100481,35,14,928,6000,23.6,44,62,71
2024-05-10 10:14,ICW0W2100479,10,4,433,39,24.1,33,67,96
2024-04-30 11:47,ICW0W2100489,17,7,227,19,23.6,42,73,100
2024-05-10 10:14,ICW0W2100467,7,2,,5317,23.0,37,86,69
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-05-10 10:14,ICW0W2100462,22,7,39,39,23.3,32,74,99
2024-05-09 16:06,ICW0W2100460,17,6,703,0,22.5,36,72,100
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-05-09 15:24,ICW0W2100455,13,5,1381,0,23.5,38,64,88
2024-05-07 15:50,ICW0W2000512,1,0,742,647,26.9,38,75,88
2024-05-10 10:14,ICW0W2001000,13,8,25,44,21.6,40,61,100
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-05-10 10:14,ICW0W2000951,21,6,423,134,24.7,41,73,100
2024-05-10 10:14,ICW0W2000956,25,14,817,259,21.2,45,52,98
2024-05-10 10:14,ICW0W2000996,20,19,351,503,21.8,35,52,91
2024-05-10 10:14,ICW0W2000991,11,7,614,91,21.4,37,69,100
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21.0,34,63,71
2024-05-07 17:45,ICW0W2000983,0,0,111,109,18.1,46,70,100
2024-05-07 17:55,ICW0W2000955,2,1,443,132,20.5,39,63,100
2024-05-09 18:19,ICW0W2000987,52,21,,84,22.2,35,58,96
2024-05-10 10:14,ICW0W2000978,20,13,393,53,20.6,35,51,100
2024-05-10 10:14,ICW0W2000922,23,7,403,9,24.7,36,71,99
2024-05-10 10:14,ICW0W2000926,10,3,85,2664,28.0,34,56,71
2024-05-10 10:14,ICW0W2000977,19,11,515,52,23.5,33,75,96
2024-05-10 10:14,ICW0W2000933,20,6,359,3,22.3,37,55,100
2024-03-13 08:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-05-10 10:14,ICW0W2000973,34,21,444,109,21.5,39,56,97
2024-05-07 15:13,ICW0W2000972,7,5,859,114,23.5,37,66,100
2024-05-10 10:14,ICW0W2000968,7,5,489,157,28.5,26,59,90
2024-04-03 16:18,ICW0W2000944,4,2,1156,4964,23.3,44,83,79
2024-05-10 10:14,ICW0W2000964,31,14,682,105,21.6,34,75,93
2024-05-10 10:14,ICW0W2000924,11,3,669,310,24.3,37,75,95
2024-05-10 10:14,ICW0W2000505,6,2,419,27,21.6,40,55,100
2024-05-10 10:01,V01T1623100,17,8,1299,548,23.4,55,54,88
2024-05-10 10:14,V01T1623130,24,11,519,129,22.2,41,44,100
2024-05-10 10:14,V01T1623129,17,8,559,130,24.3,37,31,97
2024-05-10 10:14,V01T1623123,13,6,525,125,24.1,37,33,98
2024-03-13 15:23,V01T1623121,55,24,426,132,18.0,22,43,92
2024-05-10 10:13,V01T1623118,1,1,442,134,21.0,40,32,100
2024-03-29 08:06,V01T1623117,177,49,522,133,19.8,26,46,74
2024-05-10 10:14,V01T1623116,47,21,2500,130,23.8,35,36,78
2024-05-10 10:14,V01T1623113,39,18,449,126,25.8,30,30,90
2024-05-10 10:00,V01T1623112,1,1,424,126,25.1,37,31,100
2024-05-10 10:14,V01T1623109,1,1,2107,125,16.8,59,41,84
2024-05-10 09:44,V01T1623108,6,3,606,125,21.9,41,36,100
2024-05-10 10:14,V01T1623105,56,24,478,155,21.8,40,35,98
2024-05-10 10:14,V01T1623102,19,9,569,125,25.0,32,30,92
2024-05-10 10:14,ICW0W2000503,13,4,461,242,21.4,41,52,100
2024-05-10 10:14,ICW0W2000455,14,5,57,60,20.2,39,58,100
2024-05-10 10:14,ICW0W2000447,19,4,302,68,20.4,42,49,100
2024-05-10 10:14,ICW0W2000459,20,7,656,45,22.0,41,59,100
2024-05-10 10:14,ICW0W2000507,2,1,696,4,24.3,41,47,100
2024-05-10 10:14,ICW0W2000501,12,5,373,33,21.6,39,72,100
2024-05-10 10:14,ICW0W2000500,6,3,2500,307,24.3,40,61,80
